# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.check.recursive.update.ms,1771102817220000000,1771102877218000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1771102817220000000,1771102877218000000,1
workspaceModel.cachedValueWithParameters.clear.count,1771102817220000000,1771102877218000000,0
workspaceModel.on.changed.ms,1771102817220000000,1771102877218000000,0
workspaceModel.cachedValue.clear.count,1771102817220000000,1771102877218000000,0
workspaceModel.update.unloaded.entities.ms,1771102817220000000,1771102877218000000,0
workspaceModel.init.bridges.ms,1771102817220000000,1771102877218000000,0
workspaceModel.updates.count,1771102817220000000,1771102877218000000,0
workspaceModel.pre.handlers.ms,1771102817220000000,1771102877218000000,0
workspaceModel.loading.from.cache.ms,1771102817220000000,1771102877218000000,3
Indexing.writesQueuedAvg,1771102817220000000,1771102877218000000,0.0
Indexing.cache.totalCacheEvicted,1771102817220000000,1771102877218000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1771102817220000000,1771102877218000000,0
Indexes.stubs.lookupDurationAvgMs,1771102817220000000,1771102877218000000,0.0
IndexesFlusher.totalFlushesRetried,1771102817220000000,1771102877218000000,0
Indexes.stubs.lookupDurationMaxMs,1771102817220000000,1771102877218000000,0.0
Indexing.cache.totalCacheAccesses,1771102817220000000,1771102877218000000,0
Indexing.totalTimeIndexersSleptMs,1771102817220000000,1771102877218000000,0
Indexes.entries.lookupDurationAvgMs,1771102817220000000,1771102877218000000,38.0
Indexing.writer_2.totalTimeSpentWritingMs,1771102817220000000,1771102877218000000,0
Indexes.stubs.lookups,1771102817220000000,1771102877218000000,0
Indexing.writesQueuedMin,1771102817220000000,1771102877218000000,0
Indexing.cache.totalCacheMisses,1771102817220000000,1771102877218000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1771102817220000000,1771102877218000000,0
Indexes.entries.lookupDurationMaxMs,1771102817220000000,1771102877218000000,38.0
Indexes.entries.lookupDuration90PMs,1771102817220000000,1771102877218000000,38.0
Indexes.entries.lookups,1771102817220000000,1771102877218000000,1
Indexes.allKeys.lookupDurationAvgMs,1771102817220000000,1771102877218000000,0.0
Indexes.allKeys.lookupDuration90PMs,1771102817220000000,1771102877218000000,0.0
IndexesFlusher.totalFlushes,1771102817220000000,1771102877218000000,171
IndexesFlusher.totalFlushingTimeUs,1771102817220000000,1771102877218000000,2499074
Indexes.stubs.lookupDuration90PMs,1771102817220000000,1771102877218000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1771102817220000000,1771102877218000000,0
IndexesFlusher.totalContentionQuotaSpent,1771102817220000000,1771102877218000000,0
Indexes.allKeys.lookupDurationMaxMs,1771102817220000000,1771102877218000000,0.0
Indexes.allKeys.lookups,1771102817220000000,1771102877218000000,0
Indexing.writesQueuedMax,1771102817220000000,1771102877218000000,0
VFS.fileChildByName,1771102817220000000,1771102877218000000,89
FileNameCache.totalMisses,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsStored,1771102817220000000,1771102877218000000,0
VFS.fileByIdCache.hits,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsReadSize,1771102817220000000,1771102877218000000,0
VFS.invertedFileNameIndex.requests,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsReadDecompressed,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsDeduplicated,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsStoredCompressed,1771102817220000000,1771102877218000000,0
FileNameCache.queries,1771102817220000000,1771102877218000000,1920
VFS.contentStorage.recordsStoredSize,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsUncompressedSize,1771102817220000000,1771102877218000000,0
VFS.fileByIdCache.misses,1771102817220000000,1771102877218000000,0
VFS.contentStorage.recordsRead,1771102817220000000,1771102877218000000,0
FlushQueue.waitingTime90PNs,1771102817220000000,1771102877218000000,65229815807
AWTEventQueue.eventsDispatched,1771102817220000000,1771102877218000000,3251
FlushQueue.tasksExecuted,1771102817220000000,1771102877218000000,1534
AWTEventQueue.dispatchTimeTotalNS,1771102817220000000,1771102877218000000,21163843213
FlushQueue.queueSizeMax,1771102817220000000,1771102877218000000,1239
AWTEventQueue.dispatchTimeMaxNs,1771102817220000000,1771102877218000000,11341398015
FlushQueue.waitingTimeAvgNs,1771102817220000000,1771102877218000000,3.1323257819494133E10
FlushQueue.waitingTimeMaxNs,1771102817220000000,1771102877218000000,89120571391
WriteAction.executionsCount,1771102817220000000,1771102877218000000,4
FlushQueue.executionTimeAvgNs,1771102817220000000,1771102877218000000,7.493897285788788E7
ReadAction.executionsCount,1771102817220000000,1771102877218000000,105550
